0.100000	-5.807383 -5.775475 -5.803566 -5.834210 -5.841016 -5.831754 -5.836763 -5.839510 -5.868566 -5.848868 -5.863757 -5.840741 -5.855435 -5.857970 -5.828462 -5.843216 -5.855393 -5.844607 -5.854707 -5.824780 
0.110000	-5.798913 -5.802843 -5.806334 -5.812151 -5.800627 -5.838639 -5.858618 -5.851701 -5.835702 -5.856835 -5.828882 -5.823928 -5.855892 -5.838296 -5.860585 -5.853579 -5.869235 -5.861700 -5.847387 -5.851216 
0.120000	-5.784625 -5.788624 -5.807184 -5.783580 -5.798387 -5.858852 -5.818343 -5.816113 -5.821218 -5.865676 -5.861603 -5.849837 -5.842585 -5.843644 -5.854766 -5.865599 -5.859339 -5.851570 -5.852395 -5.849161 
0.130000	-5.760815 -5.770259 -5.797492 -5.785458 -5.819473 -5.828069 -5.825287 -5.819010 -5.816231 -5.809884 -5.816460 -5.833827 -5.827559 -5.852516 -5.833774 -5.833792 -5.845467 -5.844631 -5.811954 -5.846747 
0.140000	-5.760410 -5.798245 -5.812843 -5.792918 -5.811474 -5.796753 -5.809251 -5.773435 -5.806227 -5.863195 -5.823401 -5.815106 -5.831880 -5.840522 -5.830203 -5.851105 -5.777464 -5.834041 -5.839943 -5.836710 
0.150000	-5.782176 -5.754043 -5.801962 -5.762254 -5.800209 -5.825389 -5.815093 -5.803501 -5.807218 -5.804447 -5.855750 -5.840392 -5.845419 -5.838769 -5.859760 -5.791485 -5.807221 -5.837993 -5.845158 -5.832515 
0.160000	-5.752002 -5.751668 -5.752631 -5.789079 -5.769211 -5.827419 -5.796077 -5.835045 -5.826898 -5.800596 -5.821637 -5.801965 -5.804805 -5.820261 -5.823259 -5.821800 -5.836549 -5.813170 -5.830744 -5.833105 
0.170000	-5.752966 -5.812258 -5.782546 -5.788736 -5.793935 -5.798205 -5.820440 -5.830820 -5.852410 -5.813850 -5.799959 -5.815988 -5.787143 -5.835379 -5.868720 -5.818892 -5.843882 -5.844790 -5.813340 -5.787362 
0.180000	-5.753580 -5.728533 -5.772378 -5.781445 -5.782628 -5.803197 -5.822071 -5.825075 -5.835587 -5.797042 -5.776227 -5.815895 -5.828658 -5.802406 -5.787442 -5.833942 -5.809922 -5.802136 -5.828378 -5.816061 
0.190000	-5.726177 -5.728633 -5.768170 -5.746857 -5.750681 -5.801642 -5.806230 -5.797755 -5.783407 -5.794601 -5.826803 -5.795857 -5.821653 -5.789284 -5.796956 -5.834563 -5.785919 -5.829828 -5.835745 -5.830524 
0.200000	-5.744046 -5.745895 -5.735987 -5.819599 -5.768604 -5.753904 -5.775644 -5.766551 -5.769707 -5.787889 -5.762699 -5.781643 -5.793584 -5.777894 -5.755759 -5.813408 -5.766703 -5.737173 -5.833799 -5.767519 
0.210000	-5.728883 -5.741294 -5.750910 -5.743154 -5.774568 -5.785196 -5.748941 -5.777516 -5.777179 -5.774249 -5.777215 -5.796245 -5.763094 -5.708869 -5.799304 -5.806159 -5.785360 -5.779016 -5.796928 -5.732234 
0.220000	-5.742337 -5.771613 -5.764956 -5.781689 -5.743773 -5.786555 -5.759100 -5.772358 -5.767405 -5.792379 -5.798260 -5.782909 -5.768174 -5.759097 -5.827075 -5.778377 -5.750295 -5.805035 -5.821058 -5.765937 
0.230000	-5.703339 -5.726726 -5.734653 -5.746194 -5.751158 -5.725067 -5.752733 -5.724819 -5.736761 -5.737729 -5.750160 -5.744931 -5.757148 -5.754840 -5.778631 -5.747843 -5.760186 -5.734564 -5.773900 -5.749058 
0.240000	-5.707842 -5.722282 -5.769345 -5.740833 -5.765927 -5.765304 -5.740481 -5.780800 -5.780286 -5.758069 -5.735920 -5.748027 -5.794766 -5.771304 -5.758916 -5.785568 -5.802380 -5.772857 -5.751190 -5.769653 
0.250000	-5.727325 -5.746038 -5.725518 -5.757778 -5.701209 -5.707981 -5.710851 -5.754538 -5.757394 -5.765342 -5.738944 -5.726487 -5.800195 -5.756459 -5.782908 -5.773181 -5.751087 -5.755417 -5.726896 -5.755025 
0.260000	-5.711396 -5.728476 -5.696403 -5.716746 -5.743891 -5.724913 -5.739602 -5.752396 -5.785555 -5.750107 -5.757327 -5.753139 -5.773724 -5.791259 -5.767376 -5.787360 -5.788864 -5.739924 -5.734831 -5.783593 
0.270000	-5.736868 -5.699001 -5.703257 -5.709756 -5.742377 -5.750100 -5.725534 -5.722231 -5.745774 -5.699788 -5.711024 -5.715853 -5.722665 -5.756511 -5.682672 -5.743470 -5.743745 -5.745380 -5.720935 -5.765881 
0.280000	-5.729966 -5.738705 -5.697524 -5.715692 -5.745763 -5.719444 -5.710119 -5.745612 -5.755889 -5.705842 -5.747932 -5.725371 -5.767127 -5.735048 -5.700785 -5.740692 -5.763651 -5.711101 -5.683187 -5.777813 
0.290000	-5.742139 -5.666862 -5.705463 -5.704120 -5.685316 -5.701703 -5.690222 -5.703134 -5.700918 -5.697204 -5.695770 -5.741643 -5.735893 -5.709647 -5.746214 -5.710238 -5.729932 -5.761455 -5.741514 -5.710916 
0.300000	-5.666164 -5.663343 -5.691818 -5.651773 -5.723961 -5.700098 -5.721942 -5.704057 -5.673191 -5.726273 -5.727784 -5.755615 -5.727092 -5.707712 -5.745806 -5.743741 -5.723500 -5.687453 -5.691241 -5.705316 
0.310000	-5.645253 -5.687610 -5.681353 -5.675507 -5.699121 -5.686902 -5.726831 -5.723112 -5.701420 -5.719503 -5.754990 -5.736149 -5.731307 -5.726920 -5.749638 -5.725439 -5.752541 -5.750088 -5.755382 -5.677893 
0.320000	-5.669662 -5.685690 -5.663021 -5.672355 -5.721071 -5.682442 -5.686104 -5.738849 -5.708921 -5.690138 -5.719351 -5.693850 -5.693921 -5.686860 -5.692782 -5.735265 -5.701627 -5.728237 -5.681672 -5.694317 
0.330000	-5.658412 -5.702401 -5.672446 -5.670451 -5.656687 -5.730436 -5.703077 -5.690310 -5.718314 -5.677598 -5.733820 -5.701255 -5.741867 -5.705986 -5.687837 -5.750790 -5.730095 -5.750262 -5.696856 -5.713733 
0.340000	-5.649546 -5.642377 -5.712922 -5.636478 -5.689513 -5.720612 -5.663854 -5.670152 -5.647499 -5.687706 -5.700790 -5.699250 -5.695939 -5.728702 -5.723902 -5.669044 -5.685371 -5.688281 -5.661451 -5.713189 
0.350000	-5.669870 -5.655838 -5.682757 -5.670107 -5.683318 -5.694104 -5.699342 -5.684741 -5.676347 -5.669158 -5.664832 -5.689928 -5.640865 -5.644218 -5.692765 -5.671876 -5.689176 -5.661068 -5.702418 -5.712147 
0.360000	-5.667690 -5.642959 -5.670006 -5.663161 -5.641304 -5.705482 -5.709078 -5.697590 -5.726717 -5.663514 -5.729030 -5.681474 -5.651055 -5.709975 -5.659903 -5.686145 -5.762680 -5.707081 -5.660797 -5.643764 
0.370000	-5.592170 -5.575318 -5.643745 -5.648287 -5.652226 -5.640075 -5.665581 -5.674984 -5.667686 -5.657142 -5.648667 -5.688414 -5.668404 -5.662541 -5.729481 -5.647876 -5.648154 -5.643613 -5.709268 -5.683087 
0.380000	-5.575250 -5.665208 -5.626516 -5.642151 -5.646623 -5.684399 -5.657057 -5.667143 -5.696662 -5.696639 -5.652278 -5.673425 -5.666029 -5.647054 -5.659941 -5.649396 -5.681518 -5.719204 -5.686873 -5.665032 
0.390000	-5.660637 -5.626634 -5.601978 -5.659136 -5.652882 -5.695367 -5.653601 -5.638133 -5.657407 -5.660308 -5.637542 -5.691859 -5.698101 -5.596710 -5.656198 -5.614416 -5.640726 -5.625723 -5.611840 -5.617566 
0.400000	-5.608935 -5.618526 -5.589828 -5.668173 -5.619105 -5.656248 -5.638941 -5.660004 -5.637846 -5.640693 -5.637801 -5.665268 -5.643129 -5.641330 -5.663883 -5.653218 -5.653783 -5.586341 -5.693930 -5.631659 
